instance,domain,agents,bays,candidates,items,placement,goal,atoms,worlds,designated,ground_actions,heuristic,strategy,depth,expanded,generated,leaves,branches,ground_s,plan_s,status
directed-a4-b4-u2-spread-private,directed,4,4,2,,spread,private,40,2,2,76,knowledge-spread,AO*,4,482,516,2,5,0.113,0.005,solved
directed-a4-b4-u3-depot-nested,directed,4,4,3,,depot,nested,40,3,3,76,knowledge-spread,AO*,5,2581,2869,3,7,0.189,0.015,solved
directed-a4-b4-u3-depot-private,directed,4,4,3,,depot,private,40,3,3,76,knowledge-spread,AO*,5,2581,2869,3,7,0.191,0.016,solved
directed-a4-b4-u3-spread-nested,directed,4,4,3,,spread,nested,40,3,3,76,knowledge-spread,AO*,5,5146,5670,3,7,0.187,0.027,solved
directed-a4-b4-u3-spread-private,directed,4,4,3,,spread,private,40,3,3,76,knowledge-spread,AO*,5,5146,5670,3,7,0.191,0.032,solved
directed-a4-b5-u2-depot-nested,directed,4,5,2,,depot,nested,54,2,2,97,knowledge-spread,AO*,5,1349,1376,2,6,1.227,0.009,solved
directed-a4-b5-u2-depot-private,directed,4,5,2,,depot,private,54,2,2,97,knowledge-spread,AO*,5,1349,1376,2,6,1.187,0.010,solved
directed-a4-b5-u2-spread-nested,directed,4,5,2,,spread,nested,54,2,2,97,knowledge-spread,AO*,5,4018,4063,2,6,1.166,0.019,solved
directed-a4-b5-u2-spread-private,directed,4,5,2,,spread,private,54,2,2,97,knowledge-spread,AO*,5,4018,4063,2,6,1.206,0.024,solved
directed-a4-b5-u3-depot-nested,directed,4,5,3,,depot,nested,54,3,3,97,knowledge-spread,AO*,6,8837,9184,3,8,2.357,0.054,solved
directed-a4-b5-u3-depot-private,directed,4,5,3,,depot,private,54,3,3,97,knowledge-spread,AO*,6,8837,9184,3,8,2.441,0.049,solved
directed-a4-b5-u3-spread-nested,directed,4,5,3,,spread,nested,54,3,3,97,knowledge-spread,AO*,6,29827,30713,3,8,2.441,0.157,solved
directed-a4-b5-u3-spread-private,directed,4,5,3,,spread,private,54,3,3,97,knowledge-spread,AO*,6,29827,30713,3,8,2.418,0.154,solved
facility-a2-b4-i1-depot-ck,facility,2,4,,1,depot,ck,36,2,2,30,knowledge-spread,AO*,5,150,160,2,6,0.025,0.003,solved
facility-a2-b4-i2-depot-ck,facility,2,4,,2,depot,ck,40,4,4,42,knowledge-spread,AO*,6,1613,1748,4,11,0.039,0.010,solved
facility-a2-b5-i1-depot-ck,facility,2,5,,1,depot,ck,49,2,2,39,knowledge-spread,AO*,7,1605,1623,2,8,0.034,0.010,solved
facility-a2-b5-i2-depot-ck,facility,2,5,,2,depot,ck,54,4,4,54,knowledge-spread,AO*,8,19403,20306,4,13,0.059,0.118,solved
facility-a2-b6-i1-depot-ck,facility,2,6,,1,depot,ck,64,2,2,48,knowledge-spread,AO*,8,4409,4429,2,9,0.057,0.024,solved
facility-a3-b4-i1-depot-ck,facility,3,4,,1,depot,ck,42,2,2,40,knowledge-spread,AO*,5,275,290,2,6,0.038,0.004,solved
facility-a3-b4-i2-depot-ck,facility,3,4,,2,depot,ck,46,4,4,56,knowledge-spread,AO*,6,3533,3782,4,11,0.088,0.026,solved
facility-a3-b5-i1-depot-ck,facility,3,5,,1,depot,ck,56,2,2,52,knowledge-spread,AO*,7,6593,6619,2,8,0.133,0.035,solved
facility-a3-b5-i2-depot-ck,facility,3,5,,2,depot,ck,61,4,4,72,knowledge-spread,AO*,8,93247,96902,4,13,0.456,0.677,solved
facility-a3-b6-i1-depot-ck,facility,3,6,,1,depot,ck,72,2,2,64,knowledge-spread,AO*,8,27242,27271,2,9,0.863,0.173,solved
public-a2-b3-u2-depot-ck,public,2,3,2,,depot,ck,18,2,2,20,knowledge-spread,AO*,3,48,63,2,4,0.023,0.003,solved
public-a2-b3-u2-depot-nested,public,2,3,2,,depot,nested,18,2,2,20,knowledge-spread,AO*,3,48,63,2,4,0.025,0.003,solved
public-a2-b3-u2-spread-ck,public,2,3,2,,spread,ck,18,2,2,20,knowledge-spread,AO*,2,35,47,2,3,0.023,0.003,solved
public-a2-b3-u2-spread-nested,public,2,3,2,,spread,nested,18,2,2,20,knowledge-spread,AO*,2,35,47,2,3,0.022,0.003,solved
public-a2-b4-u2-depot-ck,public,2,4,2,,depot,ck,28,2,2,28,knowledge-spread,AO*,4,143,159,2,5,0.028,0.003,solved
public-a2-b4-u2-depot-nested,public,2,4,2,,depot,nested,28,2,2,28,knowledge-spread,AO*,4,143,159,2,5,0.029,0.003,solved
public-a2-b4-u2-spread-ck,public,2,4,2,,spread,ck,28,2,2,28,knowledge-spread,AO*,3,117,131,2,4,0.029,0.003,solved
public-a2-b4-u2-spread-nested,public,2,4,2,,spread,nested,28,2,2,28,knowledge-spread,AO*,3,117,131,2,4,0.027,0.003,solved
public-a2-b4-u3-depot-ck,public,2,4,3,,depot,ck,28,3,3,28,knowledge-spread,AO*,5,836,1016,3,7,0.030,0.008,solved
public-a2-b4-u3-depot-nested,public,2,4,3,,depot,nested,28,3,3,28,knowledge-spread,AO*,5,836,1016,3,7,0.028,0.008,solved
public-a2-b4-u3-spread-ck,public,2,4,3,,spread,ck,28,3,3,28,knowledge-spread,AO*,4,713,866,3,6,0.029,0.007,solved
public-a2-b4-u3-spread-nested,public,2,4,3,,spread,nested,28,3,3,28,knowledge-spread,AO*,4,713,866,3,6,0.030,0.008,solved
public-a2-b5-u2-depot-ck,public,2,5,2,,depot,ck,40,2,2,36,knowledge-spread,AO*,5,502,520,2,6,0.034,0.005,solved
public-a2-b5-u2-depot-nested,public,2,5,2,,depot,nested,40,2,2,36,knowledge-spread,AO*,5,502,520,2,6,0.035,0.005,solved
public-a2-b5-u2-spread-ck,public,2,5,2,,spread,ck,40,2,2,36,knowledge-spread,AO*,4,472,488,2,5,0.036,0.006,solved
public-a2-b5-u2-spread-nested,public,2,5,2,,spread,nested,40,2,2,36,knowledge-spread,AO*,4,472,488,2,5,0.035,0.005,solved
public-a2-b5-u3-depot-ck,public,2,5,3,,depot,ck,40,3,3,36,knowledge-spread,AO*,6,2184,2416,3,8,0.041,0.016,solved
public-a2-b5-u3-depot-nested,public,2,5,3,,depot,nested,40,3,3,36,knowledge-spread,AO*,6,2184,2416,3,8,0.040,0.013,solved
public-a2-b5-u3-spread-ck,public,2,5,3,,spread,ck,40,3,3,36,knowledge-spread,AO*,5,2170,2409,3,7,0.044,0.017,solved
public-a2-b5-u3-spread-nested,public,2,5,3,,spread,nested,40,3,3,36,knowledge-spread,AO*,5,2170,2409,3,7,0.041,0.015,solved
public-a2-b6-u4-depot-ck,public,2,6,4,,depot,ck,54,4,4,44,knowledge-spread,AO*,8,32237,35265,4,11,0.123,0.259,solved
public-a2-b6-u4-depot-nested,public,2,6,4,,depot,nested,54,4,4,44,knowledge-spread,AO*,8,32237,35265,4,11,0.106,0.226,solved
public-a2-b6-u4-spread-ck,public,2,6,4,,spread,ck,54,4,4,44,knowledge-spread,AO*,7,33600,36770,4,10,0.104,0.257,solved
public-a2-b6-u4-spread-nested,public,2,6,4,,spread,nested,54,4,4,44,knowledge-spread,AO*,7,33600,36770,4,10,0.101,0.240,solved
public-a3-b3-u2-depot-ck,public,3,3,2,,depot,ck,21,2,2,30,knowledge-spread,AO*,3,86,111,2,4,0.026,0.003,solved
public-a3-b3-u2-depot-nested,public,3,3,2,,depot,nested,21,2,2,30,knowledge-spread,AO*,3,86,111,2,4,0.026,0.003,solved
public-a3-b3-u2-spread-ck,public,3,3,2,,spread,ck,21,2,2,30,knowledge-spread,AO*,2,54,79,2,3,0.027,0.003,solved
public-a3-b3-u2-spread-nested,public,3,3,2,,spread,nested,21,2,2,30,knowledge-spread,AO*,2,54,79,2,3,0.027,0.003,solved
public-a3-b4-u2-depot-ck,public,3,4,2,,depot,ck,32,2,2,42,knowledge-spread,AO*,4,365,392,2,5,0.043,0.005,solved
public-a3-b4-u2-depot-nested,public,3,4,2,,depot,nested,32,2,2,42,knowledge-spread,AO*,4,365,392,2,5,0.048,0.005,solved
public-a3-b4-u2-spread-ck,public,3,4,2,,spread,ck,32,2,2,42,knowledge-spread,AO*,2,77,98,2,3,0.044,0.003,solved
public-a3-b4-u2-spread-nested,public,3,4,2,,spread,nested,32,2,2,42,knowledge-spread,AO*,2,77,98,2,3,0.040,0.003,solved
public-a3-b4-u3-depot-ck,public,3,4,3,,depot,ck,32,3,3,42,knowledge-spread,AO*,5,3324,3977,3,7,0.050,0.026,solved
public-a3-b4-u3-depot-nested,public,3,4,3,,depot,nested,32,3,3,42,knowledge-spread,AO*,5,3324,3977,3,7,0.051,0.024,solved
public-a3-b4-u3-spread-ck,public,3,4,3,,spread,ck,32,3,3,42,knowledge-spread,AO*,4,3392,4335,3,6,0.058,0.027,solved
public-a3-b4-u3-spread-nested,public,3,4,3,,spread,nested,32,3,3,42,knowledge-spread,AO*,4,3392,4335,3,6,0.057,0.027,solved
public-a3-b5-u2-depot-ck,public,3,5,2,,depot,ck,45,2,2,54,knowledge-spread,AO*,5,1958,1989,2,6,0.130,0.020,solved
public-a3-b5-u2-depot-nested,public,3,5,2,,depot,nested,45,2,2,54,knowledge-spread,AO*,5,1958,1989,2,6,0.130,0.014,solved
public-a3-b5-u2-spread-ck,public,3,5,2,,spread,ck,45,2,2,54,knowledge-spread,AO*,3,405,431,2,4,0.129,0.006,solved
public-a3-b5-u2-spread-nested,public,3,5,2,,spread,nested,45,2,2,54,knowledge-spread,AO*,3,405,431,2,4,0.110,0.005,solved
public-a3-b5-u3-depot-ck,public,3,5,3,,depot,ck,45,3,3,54,knowledge-spread,AO*,6,12238,13037,3,8,0.174,0.086,solved
public-a3-b5-u3-depot-nested,public,3,5,3,,depot,nested,45,3,3,54,knowledge-spread,AO*,6,12238,13037,3,8,0.187,0.079,solved
public-a3-b5-u3-spread-ck,public,3,5,3,,spread,ck,45,3,3,54,knowledge-spread,AO*,4,4081,4607,3,6,0.190,0.032,solved
public-a3-b5-u3-spread-nested,public,3,5,3,,spread,nested,45,3,3,54,knowledge-spread,AO*,4,4081,4607,3,6,0.191,0.030,solved
